soru,cevap
Türk eğitim tarihinde ilk bakanlık hangi adla ve ne zaman kurulmuştur?,"Türk eğitim tarihinde ilk bakanlık, Osmanlı Devleti döneminde Maârif-i Umûmiyye Nezâreti adıyla 1857’de kurulmuştur."
Islahat Fermanı'nın eğitim alanındaki etkisi ne olmuştur?,"Islahat Fermanı, eğitim hizmetlerinin daha derli toplu ve ciddi biçimde yürütülmesini sağlamış ve Meclis-i Vükela içinde bir 'Eğitim Bakanı' (Maarif Nazırı) bulunması gerektiğini belirtmiştir."
İlk Maârif Nâzırı ve ilk müsteşar kimlerdir?,İlk Maârif Nâzırı Abdurrahman Sâmî Paşa ve ilk müsteşar bilim adamı Hayrullah Efendi’dir.
Maarif-i Umumiye Nizamnamesi ne zaman yürürlüğe girmiştir ve neyi düzenlemektedir?,"Maarif-i Umumiye Nizamnamesi 1869 yılında yürürlüğe girmiştir ve bugünkü Millî Eğitim Temel Kanunu niteliğinde, eğitim sistemine ilişkin düzenlemeler yapmaktadır."
Meclis-i Kebîr-i Maârif'in yapısı nasıldır?,"Meclis-i Kebîr-i Maârif, merkez örgütünde Maârif Nâzırı’nın başkanlığında, ilmî ve idârî iki dâireden oluşmaktadır."
1872 yılında Meclis-i Kebîr-i Maârif nasıl bir değişiklik geçirmiştir?,"1872 yılında Meclis-i Kebîr-i Maârif, iki dâire hâlinden çıkarılarak bir tek meclis hâline getirilmiştir."
1879'da nezaret merkez örgütü hangi birimler halinde düzenlenmiştir?,"1879'da nezaret merkez örgütü, Mekâtib-i Âliye, Mekâtib-i Rüşdiye, Mekâtib-i Sıbyâniye, Têlif ve Tercüme, Matbaalar olarak düzenlenmiştir."
II. Meşrutiyet Dönemi sonunda Maarif Nezareti hangi birimlerden oluşuyordu?,"II. Meşrutiyet Dönemi sonunda Maarif Nezareti, Tedrisat-ı İptidaîye Dairesi, Tedrisat-ı Taliye Dairesi, Tedrisat-ı Âliye Dairesi, Mekâtib-i Hususîye Dairesi, Tahrirat Dairesi, Muhasebat Dairesi, Sicil İşleri Dairesi, İstatistik Dairesi, Levazım Dairesi, Evrak Dairesi birimlerinden oluşuyordu."
Kurtuluş Savaşı Dönemi'nde hangi iki eğitim bakanlığı bulunuyordu?,Kurtuluş Savaşı Dönemi'nde Ankara'da TBMM Hükümetinin Maarif Vekâleti ve İstanbul'da Osmanlı Hükümetinin Maarif Nezareti bulunuyordu.
1920 yılında Maarif Vekâleti hangi birimlerden oluşuyordu?,"1920 yılında Maarif Vekâleti, Program Heyeti, İlk Tedrisat Dairesi, Orta Tedrisat Müdürlüğü, Türk Asârı Atikası Müdürlüğü, Sicil İstatistik Müdürlüğü birimlerinden oluşuyordu."
Maarif Vekâleti teşkilatına hangi yeni birimler eklenmiştir?,"Müsteşarlık, Yükseköğretim Dairesi, Teftiş Heyeti, Telif ve Tercüme Dairesi, Özel Kalem ve Evrak Dairesi eklenmiştir."
Kurtuluş Savaşı yıllarındaki Maarif Vekilleri kimlerdir?,"Dr. Rıza Nur, Hamdullah Suphi, Mehmet Vehbi, İsmail Safa."
Tevhid-i Tedrisat Kanunu'nun amacı nedir?,Eğitim işlerinin tek elden yürütülmesini sağlamak ve eğitim sisteminde birliği sağlamaktır.
1924 yılında Türk eğitim sisteminde hangi önemli gelişme yaşanmıştır?,Yurt dışından uzman eğitimcilerin davet edilmesi ve John Dewey gibi isimlerin rapor sunması önemli bir gelişmedir.
Maarif Teşkilatına Dair Kanun ne zaman kabul edilmiştir?,22 Mart 1926 tarihinde kabul edilmiştir.
Talim ve Terbiye Kurulu Başkanlığı hangi yasada ilk kez yer almıştır?,"Talim ve Terbiye Kurulu Başkanlığı, Talim ve Terbiye Dairesi adıyla ilk kez Maarif Teşkilâtına Dair Kanun'da yer almıştır."
1921 yılında hangi daire Talim ve Terbiye Dairesi'ne dönüştürülmüştür?,"1921 yılında Telif ve Tercüme Dairesi, Talim ve Terbiye Dairesi'ne dönüştürülmüştür."
1933 yılında çıkarılan 2287 Sayılı Kanun ile hangi kurumlar Maarif Vekâletine bağlanmıştır?,1933 yılında çıkarılan 2287 Sayılı Kanun ile üniversiteler Maarif Vekâletine bağlanmıştır.
1937 yılında tamamlanan 3225 sayılı yasa ile hangi birimler oluşturulmuştur?,"1937 yılında tamamlanan 3225 sayılı yasa ile Müsteşarlık, Millî Eğitim Şurası, Talim ve Terbiye Kurulu, Teftiş Kurulu, İlköğretim Genel Direktörlüğü, Ortaöğretim Genel Direktörlüğü, Yükseköğretim Genel Direktörlüğü, Erkek ve Teknik Öğretim Genel Direktörlüğü, Güzel Sanatlar Müdürlüğü, Özel Okullar Direktörlüğü, Beden Eğitimi ve İzcilik Direktörlüğü, Yayın Direktörlüğü oluşturulmuştur."
1925 yılında okuryazarlık düzeyini yükseltmek için hangi eğitim kurumları açılmıştır?,1925 yılında okuryazarlık düzeyini yükseltmek için çeşitli yörelerde yetişkinlere yönelik millet mektepleri açılmıştır.
Cumhuriyet dönemindeki örgütlenmelere çekirdek oluşturan yapının özelliği nedir?,Birimlerin artması ve işlemlere göre bir ayrışmanın başlamasıdır.
Millî Eğitim Şûrası'nın amacı nedir?,"Eğitim sistemini geliştirmek, niteliğini yükseltmek, önemli eğitim sorunlarını tartışmak, çözüm önerileri ve yeni modeller üretmektir."
Millî Eğitim Şûrası'nın katılımcıları kimlerdir?,"Öğretmenler, bilim insanları, Bakanlık mensupları, kamu ve özel kurum temsilcileri, sendikalar, dernekler, vakıflar ve sivil toplum kuruluşları."
Millî Eğitim Bakanlığı'nın merkez teşkilatında 1946'da yapılan düzenleme ile hangi birimler oluşturulmuştur?,"Müsteşarlık, Mesleki ve Teknik Öğretim Müsteşarlığı, Talim ve Terbiye Dairesi, Teftiş Kurulu, İlköğretim Genel Müdürlüğü, Ortaöğretim Genel Müdürlüğü, Yükseköğretim Genel Müdürlüğü, Güzel Sanatlar Genel Müdürlüğü, Eski Eserler ve Müzeler Genel Müdürlüğü, Erkek Teknik Öğretim Genel Müdürlüğü."
Millî Eğitim Şûrası ne zaman başlamıştır?,1939 yılında başlamıştır.
Millî Eğitim Bakanlığı'nın bugünkü örgüt yapısı hangi kanun hükmünde kararname ile belirlenmiştir?,2011 yılında yürürlüğe konulan 652 sayılı Kanun Hükmünde Kararname ile belirlenmiştir.
Millî Eğitim Bakanlığı hangi yıllar arasında 'Kültür Bakanlığı' adıyla hizmet vermiştir?,1935'ten 1941'e kadar 'Kültür Bakanlığı' adıyla hizmet vermiştir.
1959 ve 1960 yıllarında hangi genel müdürlükler oluşturulmuştur?,"1959 yılında Sağlık İşleri Genel Müdürlüğü, 1960 yılında ise Yayımlar ve Basılı Eğitim Genel Müdürlüğü, Dış Münasebetler Genel Müdürlüğü, Öğretmen Okulları Genel Müdürlüğü ve Ticaret Öğretimi Genel Müdürlüğü oluşturulmuştur."
Millî Eğitim Bakanlığı 1983'ten sonra hangi adla hizmet vermiştir?,1983'ten sonra 'Millî Eğitim Gençlik ve Spor Bakanlığı' adıyla hizmet vermiştir.
Yapılan değişikliklerde hangi etkenler rol oynamıştır?,"Bakanlığın hizmet alanı, personel ve okul sayılarının artması gibi etkenler rol oynamıştır."
652 sayılı Kanun Hükmünde Kararname ne zaman yayınlanmıştır?,652 sayılı Kanun Hükmünde Kararname 14 Eylül 2011 tarihinde yayınlanmıştır.
Millî Eğitim Bakanlığı'nın örgüt yapısı hangi dört ana bölümden oluşmaktadır?,"Millî Eğitim Bakanlığı'nın örgüt yapısı Merkez Örgütü, Taşra Örgütü, Yurtdışı Örgütü ve Bağlı Kuruluşlar olmak üzere dört ana bölümden oluşmaktadır."
652 sayılı KHK'ya yapılan hangi kanun değişiklikleri Bakanlık teşkilatında düzenlemeye gitmiştir?,652 sayılı KHK'ya yapılan 6528 sayılı Kanun değişiklikleri Bakanlık teşkilatında düzenlemeye gitmiştir.
Millî Eğitim Bakanlığı'nın teşkilat yapısını ele alan ve değiştiren yasal düzenleme hangi tarihte kabul edilen kanundan sonra gelmiştir?,"Millî Eğitim Bakanlığı'nın teşkilat yapısını ele alan ve değiştiren yasal düzenleme, 1926 tarihinde kabul edilen 789 sayılı Maarif Teşkilatına Dair Kanun’dan sonra gelmiştir."
Türk kamu yönetimi anlayışına göre eğitimin yönetiminde hangi yönetim türü güçlüdür?,Türk kamu yönetimi anlayışına göre eğitimin yönetiminde merkezi yönetim güçlüdür.
Millî Eğitim Bakanlığı taşra teşkilatı kaç ilde teşkilatlanmıştır?,Millî Eğitim Bakanlığı taşra teşkilatı 81 ilde teşkilatlanmıştır.
Millî Eğitim Bakanlığı taşra teşkilatı kaç ilçede teşkilatlanmıştır?,Millî Eğitim Bakanlığı taşra teşkilatı 918 ilçede teşkilatlanmıştır.
Okul yönetimleri hangi kuruma bağlıdır?,Okul yönetimleri millî eğitim müdürlüğüne bağlıdır.
Okul yönetimlerinin kendi kaynaklarını yaratma ve personel belirleme yetkisi nasıldır?,Okul yönetimlerinin kendi kaynaklarını yaratma ve kendi personelini belirleme konularındaki yetki ve güçleri çok sınırlıdır.
Taşra teşkilatında bölgesel düzeyde örgütlenme var mıdır?,"Hayır, taşra teşkilatında bölgesel düzeyde örgütlenme yoktur."
