soru,cevap
Bu Anayasa hangi anlayış ve ilkeler doğrultusunda belirlenmiştir?,Atatürk'ün belirlediği milliyetçilik anlayışı ve onun inkılap ve ilkeleri doğrultusunda belirlenmiştir.
Egemenlik kime aittir ve kim tarafından kullanılır?,"Egemenlik kayıtsız şartsız Türk Milletine aittir ve Millet adına kullanmaya yetkili kılınan hiçbir kişi ve kuruluş, Anayasada gösterilen hukuk düzeni dışına çıkamaz."
Kuvvetler ayrımı ne anlama gelir?,"Kuvvetler ayrımı, Devlet organları arasında üstünlük sıralaması anlamına gelmez, belli Devlet yetki ve görevlerinin kullanılmasından ibaret medeni bir işbölümü ve işbirliğidir."
Hangi faaliyetler korunma göremez?,"Türk milli menfaatlerinin, Türk varlığının, Devleti ve ülkesiyle bölünmezliği esasının, Türklüğün tarihi ve manevi değerlerinin, Atatürk milliyetçiliği, ilke ve inkılapları ve medeniyetçiliğinin karşısında hiçbir faaliyet korunma göremez."
Her Türk vatandaşının hangi hak ve yetkilere doğuştan sahip olduğu belirtilmiştir?,"Her Türk vatandaşının, Anayasadaki temel hak ve hürriyetlerden eşitlik ve sosyal adalet gereklerince yararlanarak milli kültür, medeniyet ve hukuk düzeni içinde onurlu bir hayat sürdürme ve maddi ve manevi varlığını geliştirme hak ve yetkisine doğuştan sahip olduğu belirtilmiştir."
12 Eylül 1980 harekâtı sonucunda hangi meclis tarafından Anayasa hazırlanmıştır?,Danışma Meclisi tarafından hazırlanmıştır.
"Anayasa, hangi liderin milliyetçilik anlayışı ve ilkeleri doğrultusunda hazırlanmıştır?",Atatürk’ün milliyetçilik anlayışı ve ilkeleri doğrultusunda hazırlanmıştır.
Anayasa'ya göre egemenlik kime aittir?,Egemenlik kayıtsız şartsız Türk Milletine aittir.
Anayasa'da kuvvetler ayrımı nasıl tanımlanmıştır?,"Kuvvetler ayrımı, devlet organları arasında üstünlük sıralaması anlamına gelmeyip, belli devlet yetkilerinin kullanılmasından ibaret bir işbölümü ve işbirliği olarak tanımlanmıştır."
Anayasa'ya göre her Türk vatandaşının hangi hak ve yetkileri doğuştan vardır?,Her Türk vatandaşının temel hak ve hürriyetlerden eşitlik ve sosyal adalet gereklerince yararlanarak onurlu bir hayat sürdürme ve maddî ve manevî varlığını geliştirme hak ve yetkisine doğuştan sahiptir.
"Türkiye Cumhuriyeti Anayasası, hangi ilkelere dayanarak kabul edilmiştir?","Atatürk ilkeleri ve inkılâplarını, Atatürk Milliyetçiliğini temel alan, demokratik, lâik, sosyal bir hukuk devleti olarak kabul edilmiştir."
Anayasanın başlangıç kısmında hangi kavramlar vurgulanmaktadır?,"Egemenliğin kayıtsız şartsız millete ait olduğu, adaletin devletin temeli olduğu, Atatürk Milliyetçiliği, lâiklik, yurtta sulh, cihanda sulh gibi kavramlar vurgulanmaktadır."
12 Eylül 1980 harekâtı hangi koşullarda gerçekleştirilmiştir?,Ebedî Türk vatan ve milletinin bütünlüğüne karşı benzeri görülmemiş bölücü ve yıkıcı bir iç savaşın gerçekleşme noktasına yaklaştığı sırada gerçekleştirilmiştir.
"Anayasa, hangi amaçlarla hazırlanmıştır?","Milletin bağımsızlık ve bölünmezliğini, ülkenin bütünlüğünü, Cumhuriyeti, demokrasiyi korumak ve toplumun huzur ve refahını sağlamak amacıyla hazırlanmıştır."
Anayasanın kabul edilmesinde hangi duygulara vurgu yapılmaktadır?,"Fikir, inanç ve kararlarına saygı, mutlak sadakat, demokrasiye aşk, vatan ve millet sevgisi gibi duygulara vurgu yapılmaktadır."
Türkiye Cumhuriyeti Anayasası hangi önderin ilkeleri doğrultusunda hazırlanmıştır?,Atatürk’ün belirlediği milliyetçilik anlayışı ve O’nun inkılâp ve ilkeleri doğrultusunda hazırlanmıştır.
Anayasada egemenliğin kime ait olduğu belirtilmiştir?,Egemenliğin kayıtsız şartsız Türk Milletine ait olduğu belirtilmiştir.
"Anayasa, kuvvetler ayrımını nasıl tanımlar?","Kuvvetler ayrımı, devlet organları arasında üstünlük sıralaması anlamına gelmeyip, belli devlet yetkilerinin kullanılmasından ibaret ve bununla sınırlı medeni bir işbölümü ve işbirliği olarak tanımlanır."
Anayasada hangi ilkenin gereği olarak din duygularının devlet işlerine karıştırılmaması gerektiği belirtilmiştir?,Laiklik ilkesinin gereği olarak din duygularının devlet işlerine karıştırılmaması gerektiği belirtilmiştir.
Her Türk vatandaşının hangi hak ve yetkilere doğuştan sahip olduğu belirtilmiştir?,"Her Türk vatandaşının, temel hak ve hürriyetlerden eşitlik ve sosyal adalet gereklerince yararlanarak milli kültür, medeniyet ve hukuk düzeni içinde onurlu bir hayat sürdürme ve maddi ve manevi varlığını bu yönde geliştirme hak ve yetkisine doğuştan sahip olduğu belirtilmiştir."
Metinde hangi ibare eklenmiştir?,Metinde 'olan' ibaresi eklenmiştir.
Başlangıç kısmının hangi bölümünde değişiklik yapılmıştır?,Başlangıç kısmının Millî Güvenlik Konseyi Anayasa Komisyonunca kabul edilen hâlinde 9. fıkranın son cümlesinde değişiklik yapılmıştır.
Millî Güvenlik Konseyi görüşmeleri sırasında hangi ifade değiştirilmiştir?,Millî Güvenlik Konseyi görüşmeleri sırasında 'huzurlu bir millî hayat talebine hakları bulunduğu;' ifadesi 'huzurlu bir hayat talebine hakları bulunduğu;' olarak değiştirilmiştir.
Metin hangi hâliyle kabul edilmiştir?,Metin bu değişik hâliyle Millî Güvenlik Konseyince kabul edilmiştir.
Metin hangi konsey tarafından kabul edilmiştir?,Metin Millî Güvenlik Konseyince kabul edilmiştir.
Türkiye Cumhuriyeti Anayasası'nın başlangıç bölümünde hangi temel ilkeler vurgulanmıştır?,"Anayasanın başlangıç bölümünde Atatürk'ün milliyetçilik anlayışı, millet iradesinin üstünlüğü, egemenliğin Türk Milletine ait olması, kuvvetler ayrımı, laiklik, temel hak ve hürriyetler gibi ilkeler vurgulanmıştır."
Anayasada belirtilen kuvvetler ayrımı ne anlama gelmektedir?,"Kuvvetler ayrımı, devlet organları arasında üstünlük sıralaması anlamına gelmeyip, belli devlet yetki ve görevlerinin kullanılmasından ibaret medeni bir işbölümü ve işbirliği olarak tanımlanmıştır."
Laiklik ilkesi Anayasa'da nasıl tanımlanmıştır?,"Laiklik ilkesi, kutsal din duygularının devlet işlerine ve politikaya kesinlikle karıştırılamayacağı şeklinde tanımlanmıştır."
Her Türk vatandaşının Anayasa'daki temel hak ve hürriyetlerden nasıl yararlanması gerektiği belirtilmiştir?,"Her Türk vatandaşının, eşitlik ve sosyal adalet gereklerince milli kültür, medeniyet ve hukuk düzeni içinde onurlu bir hayat sürdürme ve maddi ve manevi varlığını geliştirme hak ve yetkisine doğuştan sahip olduğu belirtilmiştir."
Türk vatandaşlarının milli gurur ve iftiharlarda nasıl bir tutum içinde olmaları gerektiği ifade edilmiştir?,"Türk vatandaşlarının milli gurur ve iftiharlarda, milli sevinç ve kederlerde ortak olduğu, birbirinin hak ve hürriyetlerine kesin saygı, karşılıklı içten sevgi ve kardeşlik duygularıyla huzurlu bir hayat talebine hakları bulunduğu ifade edilmiştir."
Türkiye Cumhuriyeti Anayasasının başlangıç metni hangi tarihli ve numaralı anayasa ile değiştirilmiştir?,"7.11.1982 tarihli, 2709 numaralı Türkiye Cumhuriyeti Anayasası ile değiştirilmiştir."
"Anayasa, millet iradesinin üstünlüğünü nasıl tanımlar?","Millet iradesinin mutlak üstünlüğü, egemenliğin kayıtsız şartsız Türk Milletine ait olduğu ve bunu millet adına kullanmaya yetkili kılınan hiçbir kişi ve kuruluşun, bu Anayasada gösterilen hürriyetçi demokrasi ve bunun icaplarıyla belirlenmiş hukuk düzeni dışına çıkamayacağı şeklinde tanımlar."
Kuvvetler ayrımı Anayasada nasıl açıklanmıştır?,"Kuvvetler ayrımı, devlet organları arasında üstünlük sıralaması anlamına gelmeyip, belli devlet yetkilerinin kullanılmasından ibaret ve bununla sınırlı medeni bir işbölümü ve işbirliği olduğu ve üstünlüğün ancak Anayasa ve kanunlarda bulunduğu şeklinde açıklanmıştır."
Laiklik ilkesi Anayasada nasıl korunmuştur?,"Laiklik ilkesi, kutsal din duygularının devlet işlerine ve politikaya kesinlikle karıştırılmayacağı şeklinde korunmuştur."
Türk vatandaşlarının temel hak ve hürriyetlerden yararlanma hakkı nasıl tanımlanmıştır?,"Her Türk vatandaşının bu Anayasadaki temel hak ve hürriyetlerden eşitlik ve sosyal adalet gereklerince yararlanarak millî kültür, medeniyet ve hukuk düzeni içinde onurlu bir hayat sürdürme ve maddî ve manevî varlığını bu yönde geliştirme hak ve yetkisine doğuştan sahip olduğu şeklinde tanımlanmıştır."
Anayasanın başlangıç kısmından hangi tarihe ilişkin atıflar çıkarılmıştır?,12 Eylül 1980 hareketine ilişkin atıflar çıkarılmıştır.
"Anayasa Komisyonu, başlangıç kısmındaki ilk iki fıkranın çıkarılmasını neden uygun bulmuştur?","Bu fıkraların, Anayasanın demokratik olma niteliğini zedeleyebilecek yorumlara sebep olabileceği gerekçesiyle uygun bulmuştur."
"Anayasa, hangi liderin milliyetçilik anlayışı ve ilkeleri doğrultusunda hazırlanmıştır?",Türkiye Cumhuriyetinin kurucusu Atatürk'ün milliyetçilik anlayışı ve ilkeleri doğrultusunda hazırlanmıştır.
Kuvvetler ayrımı ne anlama gelmektedir?,"Kuvvetler ayrımı, devlet organları arasında üstünlük sıralaması anlamına gelmeyip, belli devlet yetki ve görevlerinin kullanılmasından ibaret medeni bir işbölümü ve işbirliğidir."
Laiklik ilkesi gereği neye izin verilmemektedir?,Laiklik ilkesi gereği kutsal din duygularının devlet işlerine ve politikaya kesinlikle karıştırılmasına izin verilmemektedir.
Türk vatandaşlarının hangi duygularla ortak olduğu belirtilmiştir?,"Milli gurur ve iftiharlarda, milli sevinç ve kederlerde, milli varlığa karşı hak ve ödevlerde, nimet ve külfetlerde ve millet hayatının her türlü tecellisinde ortak oldukları belirtilmiştir."
Anayasa metni hangi duygular ve inançlarla yorumlanıp uygulanmak üzere emanet edilmiştir?,"Fikir, inanç ve kararıyla anlaşılmak, sözüne ve ruhuna saygı ve mutlak sadakatle yorumlanıp uygulanmak üzere emanet edilmiştir."
123. Birleşimde hangi madde Anayasa Komisyonuna iade edilmiştir?,"1. madde, verilen önergeler dikkate alınarak tekrar düzenlenmesi için Anayasa Komisyonuna iade edilmiştir."
124. Birleşimde Anayasa Komisyonu hangi metni yeniden düzenleyerek sunmuştur?,"Anayasa Komisyonu, Başlangıç metninin ilk paragrafını yeniden düzenleyerek Genel Kurula sunmuştur."
Yeniden düzenlenen maddenin oylama sonucunda kabul edilip edilmediği belirtilmiş midir?,"Evet, oylama sonucunda madde kabul edilmiştir."
"Bu Anayasa, hangi anlayış ve ilkeler doğrultusunda belirlenmiştir?",Atatürk'ün belirlediği milliyetçilik anlayışı ve onun inkılap ve ilkeleri doğrultusunda belirlenmiştir.
"Anayasa, egemenliğin kime ait olduğunu belirtmektedir?",Egemenliğin kayıtsız şartsız Türk Milletine ait olduğunu belirtmektedir.
Kuvvetler ayrımı ne anlama gelmektedir?,"Kuvvetler ayrımı, devlet organları arasında üstünlük sıralaması anlamına gelmeyip, belli devlet yetki ve görevlerinin kullanılmasından ibaret medeni bir işbölümü ve işbirliği anlamına gelmektedir."
Laiklik ilkesi gereği hangi duygular devlet işlerine karıştırılamaz?,Kutsal din duyguları devlet işlerine ve politikaya kesinlikle karıştırılamaz.
Her Türk vatandaşının hangi haklara sahip olduğu belirtilmiştir?,"Her Türk vatandaşının, bu Anayasadaki temel hak ve hürriyetlerden eşitlik ve sosyal adalet gereklerince yararlanarak, milli kültür, medeniyet ve hukuk düzeni içinde onurlu bir hayat sürdürme ve maddi ve manevi varlığını bu yönde geliştirme hak ve yetkisine doğuştan sahip olduğu belirtilmiştir."
Türkiye Cumhuriyeti Anayasası'nın birinci kısmı neyi kapsar?,Genel Esaslar
Türkiye Cumhuriyeti Anayasası'nın birinci kısmının başlığı nedir?,Genel Esaslar
Türkiye Cumhuriyeti Anayasası'nın birinci kısmında kaçıncı madde yer alır?,15
Türkiye Cumhuriyeti Anayasası'nın birinci kısmı hangi konuları içerir?,Genel Esaslar
Türkiye Cumhuriyeti Anayasası'nın birinci kısmında belirtilen esaslar nelerdir?,Genel Esaslar
Türkiye Devleti'nin yönetim şekli nedir?,Türkiye Devleti bir Cumhuriyettir.
Türkiye Devleti'nin yönetim şekli nedir?,Türkiye Devleti bir Cumhuriyettir.
Türkiye Devleti'nin yönetim şekli hangi Anayasalarda belirtilmiştir?,1924 ve 1961 Anayasalarında belirtilmiştir.
Devlet Başkanı nasıl seçilir?,"Devlet Başkanı, milletçe veya milletin temsilcisi Türkiye Büyük Millet Meclisince seçilerek makamına gelir."
Danışma Meclisinin kabul ettiği metnin 1. maddesi hangi konuyu ele alır?,Devletin şekli konusunu ele alır.
"Millî Güvenlik Konseyi Anayasa Komisyonu, Danışma Meclisi metninin hangi maddesini aynen kabul etmiştir?",1. maddeyi aynen kabul etmiştir.
Türkiye Cumhuriyeti'nin temel nitelikleri nelerdir?,"Türkiye Cumhuriyeti, toplumun huzuru, milli dayanışma ve adalet anlayışı içinde, insan haklarına saygılı, Atatürk milliyetçiliğine bağlı, başlangıçta belirtilen temel ilkelere dayanan, demokratik, lâik ve sosyal bir hukuk Devletidir."
Türkiye Cumhuriyeti hangi ilkelere dayanmaktadır?,"Türkiye Cumhuriyeti, başlangıçta belirtilen temel ilkelere dayanmaktadır."
Türkiye Cumhuriyeti'nin yönetim biçimi nedir?,"Türkiye Cumhuriyeti, demokratik, lâik ve sosyal bir hukuk Devletidir."
Türkiye Cumhuriyeti'nin insan haklarına yaklaşımı nasıldır?,"Türkiye Cumhuriyeti, insan haklarına saygılı bir devlettir."
Türkiye Cumhuriyeti'nin bağlı olduğu milliyetçilik anlayışı nedir?,"Türkiye Cumhuriyeti, Atatürk milliyetçiliğine bağlıdır."
Türkiye Cumhuriyeti'nin temel ilkeleri nelerdir?,"Türkiye Cumhuriyeti, toplumun huzuru, millî dayanışma ve adalet anlayışı içinde, insan haklarına saygılı, Atatürk Milliyetçiliğine bağlı, demokratik, lâik ve sosyal bir hukuk devletidir."
Laiklik ne anlama gelir?,"Laiklik, her ferdin istediği inanca, mezhebe sahip olabilmesi, ibadetini yapabilmesi ve dinî inançlarından dolayı diğer vatandaşlardan farklı bir muameleye tabi kılınmaması anlamına gelir."
Sosyal hukuk devleti neyi ifade eder?,"Sosyal hukuk devleti, devletin koyduğu hukuk kurallarına uyacağı ve çalışan, çalıştığı halde elde ettiği ürün ile mutlu olamayan kişilerin yardımcısı olacağı ilkesini belirtir."
Demokrasi nasıl tanımlanmıştır?,"Demokrasi, egemenliğin millete ait olduğu bir siyasî rejim olarak tanımlanmıştır."
"Millî Güvenlik Konseyi Anayasa Komisyonu, Danışma Meclisinin hangi madde başlığını değiştirmiştir?","Millî Güvenlik Konseyi Anayasa Komisyonu, Danışma Meclisinin 'Cumhuriyetin temel ilkeleri' başlığını 'Cumhuriyetin nitelikleri' olarak değiştirmiştir."
Türkiye Devleti'nin resmi dili nedir?,Türkçedir.
Türkiye Devleti'nin bayrağı nasıl tanımlanmıştır?,Beyaz ay yıldızlı al bayraktır.
Türkiye'nin millî marşı nedir?,İstiklal Marşı'dır.
Türkiye'nin başkenti neresidir?,Ankara'dır.
Türkiye Devleti hangi unsurlarla bölünmez bir bütündür?,Ülkesi ve milletiyle bölünmez bir bütündür.
Türkiye Devleti'nin resmi dili nedir?,Türkçedir.
Türkiye'nin milli marşı hangisidir?,İstiklal Marşı'dır.
