soru,cevap
"II. Dünya Savaşı sonrasında hangi faaliyetler fiziksel, kimyasal, biyolojik ve toplumsal yapıyı bozmuştur?","II. Dünya Savaşı sonrasında hızlı sanayileşme faaliyetleri fiziksel, kimyasal, biyolojik ve toplumsal yapıyı bozmuştur."
Çevre ve sürdürülebilir kalkınma konuları ne zaman dünya gündemine yoğun bir biçimde girmiştir?,Çevre ve sürdürülebilir kalkınma konuları 20. yüzyılın sonunda dünya gündemine yoğun bir biçimde girmiştir.
Sürdürülebilir kalkınmaya ilişkin ilk yorumlar ve tanımlamalar hangi raporda ortaya konmuştur?,Sürdürülebilir kalkınmaya ilişkin ilk yorumlar ve tanımlamalar 1987’de hazırlanan Bruntland Raporu’nda ortaya konmuştur.
Bruntland Raporu'nda sürdürülebilir kalkınma nasıl tanımlanmıştır?,"Bruntland Raporu'nda sürdürülebilir kalkınma, 'gelecek kuşakların kendi ihtiyaçlarını karşılayabilme olanağından ödün vermeksizin bugünün ihtiyaçlarını karşılayabilecek kalkınma' olarak tanımlanmıştır."
1992’de Rio de Janeiro’da gerçekleştirilen konferansın adı nedir?,1992’de Rio de Janeiro’da gerçekleştirilen konferansın adı 'Birleşmiş Milletler Çevre ve Kalkınma Konferansı'dır.
Johannesburg Sürdürülebilir Kalkınma Zirvesi'nde hangi üç faktör vurgulanmıştır?,"Johannesburg Sürdürülebilir Kalkınma Zirvesi'nde sosyal, ekonomik ve çevresel faktörler vurgulanmıştır."
Johannesburg Sürdürülebilir Kalkınma Siyasi Bildirisi'nde hangi zorluklar belirtilmiştir?,"Johannesburg Sürdürülebilir Kalkınma Siyasi Bildirisi'nde zengin ve yoksullar arasındaki uçurumun derinleşmesi, biyolojik çeşitliliğin bozulması, küreselleşmenin olumsuz etkileri ve demokratik sistemlere duyulan güvenin azalması gibi zorluklar belirtilmiştir."
Zirve’nin kalıcı sonuçlar bırakmasında hangi gelişmelerin katkısı büyük olacaktır?,Zirve’nin kalıcı sonuçlar bırakmasında bilimsel ve teknolojik gelişmelerin katkısı büyük olacaktır.
Gelişmekte olan ülkelerin yeni teknolojilere erişebilmesinin önündeki engeller nelerdir?,"Gelişmekte olan ülkelerin yeni teknolojilere erişebilmesinin önündeki engeller, teknolojik açıdan dışa bağımlılık ve dış borç yüküdür."
Araştırmacılar son yıllarda hangi ilişkiler ağının daha çok farkına varmıştır?,Araştırmacılar son yıllarda çevre ile ekonomi ve toplumsal konular arasındaki karmaşık ilişkiler ağının daha çok farkına varmıştır.
Sürdürülebilir kalkınma amaçları ile veri toplama ve model oluşturma süreçlerinin nasıl ilişkilendirilmesi gerekmektedir?,Veri toplama ve model oluşturma süreçlerinin sürdürülebilir kalkınma amaçları ile tutarlı olacak şekilde yeniden yapılandırılması gerekmektedir.
Sürdürülebilir kalkınma yaklaşımı hangi üç temel unsuru kapsamaktadır?,"Sürdürülebilir kalkınma yaklaşımı ekonomik, sosyal ve çevresel olmak üzere üç temel unsuru kapsamaktadır."
Vizyon 2023 çalışmaları kapsamında sürdürülebilir kalkınma kavramı nasıl bir rol oynamalıdır?,"Sürdürülebilir kalkınma kavramı, Vizyon 2023 çalışmaları kapsamındaki bütün sektörel panellere içselleştirilmelidir ve bütün panelleri kapsayan bir şemsiye yaklaşım olmalıdır."
Çevre ve Sürdürülebilir Kalkınma Paneli'nin misyonu nedir?,"Çevre ve Sürdürülebilir Kalkınma Paneli'nin misyonu, sürdürülebilir kalkınmanın çevre boyutunda vizyon geliştirmektir."
Vizyon 2023: Bilim ve Teknoloji Stratejileri Teknoloji Öngörü Projesi'nin Çevre ve Sürdürülebilir Kalkınma Paneli hangi çalışmaları tamamlamıştır?,Vizyon 2023: Bilim ve Teknoloji Stratejileri Teknoloji Öngörü Projesi'nin Çevre ve Sürdürülebilir Kalkınma Paneli vizyon oluşturma çalışmalarını tamamlayarak Sonuç Raporunu hazırlamıştır.
Türkiye'nin çevre alanındaki mevcut durumu nasıl değerlendirilmektedir?,"Türkiye’nin akut çevre problemleri, teknolojik eksiklikten çok yönetsel eksiklikler ve bunların uygulamaya yansımalarından kaynaklandığı ağırlıklı görüşü doğrultusunda değerlendirilmektedir."
Çevre ve Sürdürülebilir Kalkınma Paneli çalışmalarını nasıl yürütmüştür?,"Çevre ve Sürdürülebilir Kalkınma Paneli çalışmaları, düzenlenen toplantılar ve kurulan elektronik posta üzerinden bilgilendirme ve iletişim ağı ile yürütülmüştür."
Panelistler hangi tarihlerde bir araya gelerek çalışmalarını sürdürmüşlerdir?,"Panelistler, 06.08.2002, 01.11.2002 ve 17.01.2003 tarihlerinde İTÜ’de, 17.09.2002 ve 20.11.2002 tarihlerinde TÜBİTAK’ta bir araya gelerek çalışmalarını sürdürmüşlerdir."
Alt çalışma grupları hangi amaçla oluşturulmuştur?,"Alt çalışma grupları, öncelikli çevre konularında kendi aralarında bir araya gelerek raporlarını hazırlamaları amacıyla oluşturulmuştur."
Panel kapsamında oluşturulan alt çalışma grubu raporlarının düzenlenmesine nasıl yardımcı olunmuştur?,"Panel kapsamında oluşturulan alt çalışma grubu raporlarının düzenlenmesine, boyutlar ve araçlar için belirlenen 2 grup anahtar sözcük ile yardımcı olunmuştur."
Kirletici kaynaklar nelerdir?,"Noktasal kaynaklar, yayılı kaynaklar, evsel kaynaklar, endüstriyel kaynaklar, ulaşım, tarımsal kaynaklar, bölgeler arası taşınım, doğal kaynakların çıkartılması ve işlenmesi."
Etkilenen çevreler arasında neler bulunmaktadır?,"Akarsular, göller, denizler ve kıyı alanları, yeraltı su kaynakları, özel koruma alanları, sulak alanlar, hassas bölgeler, atmosfer, toprak, tarım alanları, ormanlar, sosyo-kültürel çevre."
Hangi yararlı kullanımlar belirtilmiştir?,"İçme suyu temini, rekreasyonel amaçlı kullanımlar, taşımacılık, balıkçılık, kıyı bölgeleri yönetimi, arazi kullanımı, yenilenebilir kaynaklar."
Kirletici unsurlar nelerdir?,"Evsel atıksular, endüstriyel atıksular, gaz emisyonları, zararlı atıklar, tehlikeli maddeler, özel atıklar, hastane atıkları, nükleer atıklar, mikrokirleticiler, arıtma çamurları, gürültü."
Önemli etkileşimler nelerdir?,"Ötrofikasyon, biyoçeşitlilik, iklim değişiklikleri (sera etkisi), doğal denge (ekosistem) ile ilgili etkileşimler."
Yönetsel araçlar nelerdir?,"İnsan kaynakları - eğitim, mali kaynaklar, denetim – izleme - işletme, koordinasyon (eşgüdüm), kooperasyon (işbirliği - güçbirliği), risk yönetimi."
Kurumsal araçlar nelerdir?,"Kurumsal yapının örgütlenmesi, kamuoyunun katılımı (sivil toplum örgütleri, medya vb.)."
Yasal araçlar nelerdir?,"Ulusal mevzuat, uluslararası mevzuat ve sözleşmeler."
Teknolojik araçlar nelerdir?,"Mevcut teknolojiler, hedefe dönük teknolojiler, Ar-ge, veri tabanı ve bilgiye erişim, iletişim."
Delfi ifadeleri nasıl belirlenmiştir?,"Delfi ifadeleri, elektronik ortamda panelistler arasında gerçekleşen yoğun iletişim sonucunda belirlenmiştir."
"Türkiye, çevre ile ilgili kaç sözleşme ve protokole taraf olmuştur?","Türkiye, çevre ile ilgili 41 sözleşme ve 30'un üzerinde protokole taraf olmuştur."
Akdeniz’in Kirliliğe Karşı Korunması Sözleşmesi hangi yıl başlamıştır?,Akdeniz’in Kirliliğe Karşı Korunması Sözleşmesi kapsamında çalışmalar 1983 yılından bu yana sürdürülmektedir.
Karadeniz’in Kirliliğe Karşı Korunması Sözleşmesi'ne Türkiye hangi tarihte taraf olmuştur?,"Türkiye, Karadeniz’in Kirliliğe Karşı Korunması Sözleşmesi’ne Nisan 1992'de taraf olmuştur."
Su Kirliliği Kontrolü Yönetmeliği hangi yıl yürürlüğe girmiştir?,Su Kirliliği Kontrolü Yönetmeliği 1988 yılında yürürlüğe girmiştir.
Türkiye'de su kaynakları ve atık su yönetimi ile ilgili başlıca kanunlardan biri nedir?,Türkiye'de su kaynakları ve atık su yönetimi ile ilgili başlıca kanunlardan biri Çevre Kanunu'dur (1983).
Türkiye’de ekonomik ve teknik açıdan kullanılabilir su potansiyelinin yüzde kaçı değerlendirilmiştir?,Türkiye’de ekonomik ve teknik açıdan kullanılabilir su potansiyelinin %29'u değerlendirilmiştir.
Su kaynakları ve atık su yönetiminde faaliyet gösteren denetleyici kuruluşlar hangileridir?,Su kaynakları ve atık su yönetiminde denetleyici kuruluşlar Çevre Bakanlığı ve Sağlık Bakanlığı'dır.
Karadeniz'in Rehabilitasyonu ve Korunması için Stratejik Eylem Planı hangi tarihte kabul edilmiştir?,Karadeniz'in Rehabilitasyonu ve Korunması için Stratejik Eylem Planı 30-31 Ekim 1996 tarihinde kabul edilmiştir.
Türkiye’nin su kirliliği ile ilgili ulusal mevzuatında hangi yönetmelik önemli bir yer tutar?,"Türkiye’nin su kirliliği ile ilgili ulusal mevzuatında Su Kirliliği Kontrolü Yönetmeliği (SKKY, 1988) önemli bir yer tutar."
Türkiye’de su kaynakları ve atık su yönetiminde yatırımcı kuruluşlardan biri hangisidir?,Türkiye’de su kaynakları ve atık su yönetiminde yatırımcı kuruluşlardan biri Devlet Su İşleri (DSİ) dir.
Türkiye'de su kaynakları kaç havzaya bölünmüştür?,Su kaynakları akarsular bazında hidrolojik açıdan 26 havzaya bölünmüştür.
Türkiye'de günlük su tüketimi 2000 yılında ne kadar olmuştur?,2000 yılında günlük su tüketimi 111 lt/kişi.gün seviyesine yükselmiştir.
Türkiye'de kanalizasyon şebekesi olan belediyelerin sayısı kaçtır?,Türkiye'de kanalizasyon şebekesi olan belediyelerin sayısı 310'dur.
Türkiye'de arıtma tesisi bulunan belediye sayısı kaçtır?,Türkiye genelinde atıksu arıtma tesisi bulunan belediye sayısı 127'dir.
Türkiye'de endüstriyel su tüketimi ne kadardır?,Türkiye'de yaklaşık olarak 340 m3/saat endüstriyel su tüketimi mevcuttur.
Türkiye'de arıtma tesisi olan işyeri sayısı kaçtır?,Türkiye'de arıtma tesisi olan işyeri sayısı 502'dir.
Türkiye'de su kirlenmesi kontrolü konusunda mevcut durum hangi ülkelerin gerisindedir?,Türkiye'de su kirlenmesi kontrolü uygulamaları gelişmiş ülkelerin oldukça gerisinde kalmıştır.
Türkiye'de arıtma tesisi hizmet nüfusunun en fazla olduğu şehir hangisidir?,"Arıtma tesisi hizmet nüfusunun en fazla olduğu şehir Eskişehir'dir, %80'e ulaşmaktadır."
Türkiye'de denize boşaltılan atıksuyun ne kadarı arıtılmamıştır?,Denize boşaltılan atıksuyun %53.8'i arıtılmamıştır.
Türkiye'de arıtma teknolojilerinin gelecekteki deşarj limitlerini sağlaması mümkün müdür?,Mevcut arıtma teknolojilerinin gelecekte öngörülecek deşarj limitlerini sağlaması mümkün değildir.
Gelişmiş ülkelerde katı atık depo ve sahalarından kaynaklanan sızıntı suları neden söz konusu değildir?,Gelişmiş ülkelerde katı atık yönetimi daha etkili bir şekilde yapıldığı için sızıntı suları sorun teşkil etmemektedir.
Türkiye'nin kıyı şeridi neden 'hassas bölge' ilan edilmelidir?,"Türkiye'nin kıyı şeridi, doğal yapısını yitirmemiş ve turistik değere sahip olduğu için çevre kirlenmesi açısından 'hassas bölge' ilan edilmelidir."
Türkiye hangi uluslararası sözleşmeye 1989 yılında taraf olmuştur?,"Türkiye, 1989 yılında Tehlikeli Atıkların Sınırötesi Taşınımı ve Bertarafının Kontrolüne İlişkin Basel Sözleşmesi'ne taraf olmuştur."
İzmir Protokolü ne zaman imzalanmıştır?,"İzmir Protokolü, 1 Ekim 1996 tarihinde imzalanmıştır."
Tehlikeli Atıkların Kontrolü Yönetmeliği hangi yıl yürürlüğe girmiştir?,"Tehlikeli Atıkların Kontrolü Yönetmeliği, 27 Ağustos 1995 tarihinde yürürlüğe girmiştir."
Tıbbi Atıkların Kontrolü Yönetmeliği hangi konuları kapsamaktadır?,"Tıbbi Atıkların Kontrolü Yönetmeliği, hastane atıklarının ayrılması, taşıma yöntemleri, yakılması, düzenli depolanması, sınıflandırılması ve tehlike derecesinin belirlenmesi kriterlerini kapsamaktadır."
3030 sayılı Büyükşehir Belediyelerinin Yönetimi Hakkındaki Kanun hangi görevleri büyükşehir belediyelerine vermektedir?,"3030 sayılı Kanun, büyükşehir belediyelerine katı atıkların ve endüstriyel atıkların yönetiminde toplama yerlerini belirtmek, değerlendirmek ve imhası için gerekli tesisleri kurmak, kurdurmak, işletmek ve işlettirmek görevlerini vermektedir."
Basel Sözleşmesi'ne taraf olan ülkelerden her yıl ne yapmaları beklenmektedir?,Basel Sözleşmesi'ne taraf olan ülkelerden her yıl sonu Basel Sekreteryasına rapor vermeleri ve katkı payı ödemeleri beklenmektedir.
Türkiye'nin tehlikeli atıklarla ilgili ulusal mevzuatı hangi yıl yayınlanmıştır?,Türkiye'nin tehlikeli atıklarla ilgili ulusal mevzuatı 1995 yılında yayınlanmıştır.
Umumi Hıfzıssıhha Kanunu hangi yıl yürürlüğe girmiştir ve hangi konuyu düzenlemektedir?,"Umumi Hıfzıssıhha Kanunu, 1930 yılında yürürlüğe girmiştir ve zararlı maddelerin tespit ve imhası görevini belediyelere vermektedir."
Katı Atıkların Kontrolü Yönetmeliği ne zaman yürürlüğe girmiştir?,"Katı Atıkların Kontrolü Yönetmeliği, Gazete’de yayınlanarak yürürlüğe girmiştir."
Katı Atıkların Kontrolü Yönetmeliği'nin amaçlarından biri nedir?,"Katı Atıkların Kontrolü Yönetmeliği’nin amaçlarından biri, doğada parçalanması uzun zaman alan ambalaj atıklarının kullanımının ve atık oranının kontrol altına alınmasıdır."
1993 yılında hangi kurum tarafından katı atık depo alanları yönetimi ile ilgili yönerge yayınlanmıştır?,1993 yılında Çevre Bakanlığı tarafından katı atık depo alanları yönetimi ile ilgili yönerge yayınlanmıştır.
Ülkemizde kişi başına günlük ne kadar evsel nitelikli katı atık üretilmektedir?,"Ülkemizde kişi başına günlük 0,6 kg evsel nitelikli katı atık üretilmektedir."
Ambalaj atıkları hangi iki kaynaktan toplanmaktadır?,"Ambalaj atıkları, belediyelerin çöp döküm sahalarında yapılan ayırma çalışmaları ve sokak toplayıcılarının çöp varilleri ile konteynerlerden yaptıkları ayıklama ile toplanmaktadır."
