soru,cevap
Selçuklular döneminde topraklar kaç kısma ayrılmıştır?,"Selçuklular döneminde topraklar üç kısma ayrılmıştır: öşri, haraci ve miri topraklar."
İkta arazilerinin amacı nedir?,"İkta arazilerinin amacı, kumandanlar ve askerlerin sultanın emrine hazır olmalarını sağlamak ve gelirlerini arazilerden karşılamaktır."
Vakıf arazileri Selçuklular döneminde nasıl kullanılırdı?,"Vakıf arazileri, miri arazi olup, vergileri sonradan ilim ve sosyal müesseselerin masraflarına karşılık olarak tahsis edilirdi."
Selçuklu Anadolu devletinin ekonomik gücü hangi alanlara dayanıyordu?,"Selçuklu Anadolu devletinin ekonomik gücü tarım, ticaret ve el sanatlarına dayanıyordu."
Selçuklu döneminde hangi tarımsal ürünler önemliydi?,"Buğday, pirinç ve pamuk tarımı önemliydi; hayvancılıkta keçi, koyun, sığır ve at yetiştirmeye önem verilmiştir."
Selçuklu döneminde köylülerin toprak üzerindeki hakları nelerdi?,"Köylü işleyebildiği kadar araziyi kendi mülkü gibi tasarruf edebilir, ancak satamaz, vakfedemez ve hibe edemezdi."
Selçuklu döneminde hangi ülkelere tarımsal ürünler satılıyordu?,"Meyveler, bağ ürünleri ve hayvansal ürünler Bizans, Trabzon Rum İmparatorluğu ve Arap ülkelerine satılıyordu."
Osmanlı İmparatorluğu'nda ekonomik hayatın temelini ne oluşturuyordu?,Osmanlı İmparatorluğu'nda ekonomik hayatın temelini tarım oluşturuyordu.
Osmanlı İmparatorluğu'nda nüfusun ne kadarı tarımsal faaliyetlerden gelir elde ediyordu?,Osmanlı İmparatorluğu'nda nüfusun %80-90'ı tarımsal faaliyetlerden gelir elde ediyordu.
Osmanlı İmparatorluğu'nda köylüler hangi kriterlere göre sınıflandırılmıştır?,"Osmanlı İmparatorluğu'nda köylüler, tasarruflarındaki arazi büyüklüğüne göre çift, nîm çift, bennâk, caba, mücerred gibi sınıflara ayrılarak sınıflandırılmıştır."
Mir-i arazi rejiminde toprak mülkiyet hakkı kime aittir?,Mir-i arazi rejiminde toprak mülkiyet hakkı devlete aittir.
Osmanlı mir-i rejiminde topraklar nasıl yönetilmiştir?,"Osmanlı mir-i rejiminde topraklar, dirliklere ayrılıp, sahibi-i arz'lar görevlendirilerek yönetilmiştir."
Has dirlikler kimlere tahsis edilmiştir?,"Has dirlikler, geliri 100 bin akçeden fazla olup üst düzeydeki idarecilere tahsis edilmiştir."
Osmanlı İmparatorluğu'nda tımar sistemi hangi amaçla kullanılmıştır?,"Osmanlı İmparatorluğu'nda tımar sistemi, toprakları rasyonel bir şekilde işleterek hububat üretiminin ara verilmeksizin sürdürülmesini sağlamak amacıyla kullanılmıştır."
İkta sistemi hangi dönemde başlamıştır?,"İkta sistemi, Hz. Ömer zamanında istila sonucu sahipsiz kalan toprakların devlete vergilerinin ödenmesi şartı ile şahıslara verilmesi yöntemi ile başlamıştır."
Tımar sisteminde dirlik geliri ne kadardır?,Tımar geliri 3-20 bin arasında olan dirliklerdir.
Tımar sisteminin Osmanlı Devleti'ne sağladığı faydalar nelerdir?,"Tımar sistemi, devletin vergi gelirlerini toplamak için büyük bir mali örgüt kurma yükümlülüğünden kurtulmasını sağlamış, vilayetlerde düzeni sağlamış ve savaşlar için büyük bir askeri güç oluşturmuştur."
Tahrir defterleri neyi tespit etmiştir?,"Tahrir defterleri, vergi mükelleflerine ait çeşitli bilgileri, yaşadıkları yerlerden toplanması beklenen vergileri ve bu vergilerin hangi kişi veya kurumların tasarrufunda bulunduğunu tespit etmiştir."
Mir-i arazi sistemi köylüye hangi hakları tanımıştır?,"Mir-i arazi sistemi, köylüyü doğal ve toplumsal tehlikeler karşı korumuş, toprağı kiralayan ve işleyen çiftçiye tanınan haklar vermiştir. Tımarından memnun olmayan bir reaya şikayet etme hakkına sahip olmuştur."
